edge_slice_demand;k_1= (13,14,3);k_2= (1,10,3);k_3= (10,1,3);k_4= (10,6,6);k_5= (2,7,6);k_6= (10,8,6);k_7= (8,3,3);k_8= (6,9,6);k_9= (8,1,6);k_10= (8,12,6);k_11= (4,12,3);k_12= (9,11,6);k_13= (4,14,3);k_14= (14,10,6);k_15= (10,14,6);k_16= (1,12,3);k_17= (4,11,6);k_18= (9,6,6);k_19= (12,3,3);k_20= (3,9,3);k_21= (14,13,3);k_22= (13,2,3);k_23= (5,11,3);k_24= (10,9,4);k_25= (5,14,6);k_26= (1,11,3);k_27= (8,3,3);k_28= (8,5,6);k_29= (12,8,6);k_30= (11,4,6);k_31= (11,7,6);k_32= (8,12,6);k_33= (14,6,6);k_34= (2,6,6);k_35= (7,10,6);k_36= (13,5,3);k_37= (5,3,6);k_38= (9,3,3);k_39= (7,12,6);k_40= (12,9,3);k_41= (9,10,4);k_42= (7,14,6);k_43= (4,7,6);k_44= (1,8,6);k_45= (14,13,3);k_46= (13,7,6);k_47= (1,7,3);k_48= (6,3,6);k_49= (1,13,3);k_50= (6,11,3);k_51= (11,6,3);k_52= (7,2,6);k_53= (4,8,6);k_54= (2,5,6);k_55= (5,8,6);k_56= (10,1,3);k_57= (13,12,3);k_58= (3,8,3);k_59= (13,11,4);k_60= (12,5,6);k_61= (7,9,6);k_62= (12,1,3);k_63= (13,8,6);k_64= (9,11,6);k_65= (13,2,3);k_66= (7,11,6);k_67= (7,13,6);k_68= (8,9,4);k_69= (1,10,3);k_70= (5,7,4);
[6,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ;1; ; ; ;1; ; ;1; ; ; ;1;1; ; ; ; ; ;1; ;1; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ;
[8,9]; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1;1; ; ;1; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ;1;1;1; ; ;
[9,10]; ; ; ; ; ;1; ;1; ; ; ; ; ;1;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[9,12]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;
[9,14]; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ;
[11,12]; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;
[11,14]; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ;
[13,14];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
 slice allocation ;3;65;31;49;37;52;78;19;9;64;28;13;38;45;6;68;12;26;48;60;65;10;25;10;82;76;12;55;6;22;12;58;40;75;70;14;20;55;42;17;35;94;92;27;7;30;21;22;3;41;82;31;49;13;61;13;20;17;4;76;88;72;24;31;52;18;36;46;3;4;
